レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202608132301,2026-08-13,23,01R,08:44,2026-08-13T08:34:21.212716+09:00,15.2,21.8,51.4,45.8,10.8,5.0,20.5,10.5,21.9,7.4,25.7,14.9,71.8,48.3,62.1,54.3,60.7,24.0,25.7,59.2,104.4,197.8,269.7,322.7,144.2,667.4,615.2,1270,389.8,625.0,1312,803.6,468.7,1009,1270,1270,715.9,1514,492.2,1158,87.1,53.0,108.4,113.4,140.6,361.2,703.1,772.1,100.9,401.8,635.1,386.0,310.0,875.0,423.4,1270,235.8,1036,452.6,690.8,172.7,67.6,179.8,150.3,315.0,486.1,820.3,729.2,110.9,525.0,742.9,457.8,281.2,820.3,803.6,518.1,217.5,480.2,447.4,875.0,382.3,315.0,302.9,457.8,562.5,1312,960.4,960.4,368.0,1575,382.3,2187,405.9,1270,1712,715.9,546.9,2625,1968,1125,348.4,218.7,241.5,498.4,525.0,1125,1064,1514,317.5,1458,703.1,1514,310.0,820.3,875.0,984.4,554.6,1875,2072,1064
202608132302,2026-08-13,23,02R,09:10,2026-08-13T09:00:56.879575+09:00,11.2,8.0,12.5,100.1,34.5,79.4,106.2,344.5,25.4,86.8,82.2,266.1,51.3,123.9,144.1,527.9,275.0,761.2,574.2,962.7,8.5,6.1,11.6,112.4,28.6,33.9,64.6,297.5,18.0,30.4,32.0,189.2,42.0,84.5,52.8,305.9,363.7,761.2,467.6,629.4,106.9,167.0,152.2,474.3,125.4,152.9,251.7,861.3,263.9,184.9,454.6,761.2,414.3,436.4,430.6,2182,1363,1636,1363,2727,82.0,218.2,142.9,430.6,66.6,133.6,94.8,481.3,266.1,202.0,503.5,606.1,208.4,170.4,419.6,668.0,1022,711.5,1722,1558,118.1,320.9,266.1,654.6,141.7,414.3,207.1,629.4,467.6,554.7,1091,1818,430.6,317.7,991.9,1055,1055,1309,3273,1636,654.6,1925,1818,1558,935.2,1558,2045,1818,2727,2182,3273,3637,1636,991.9,1925,2045,935.2,1925,3637,1925
202608132303,2026-08-13,23,03R,09:36,2026-08-13T09:26:22.301673+09:00,10.6,34.8,83.5,229.9,3.7,5.2,13.2,119.7,52.6,29.1,118.4,366.3,140.0,56.2,210.0,500.0,370.6,431.5,525.0,954.6,49.0,159.1,236.8,594.3,63.7,278.7,384.1,900.0,302.9,357.9,572.7,1260,425.7,572.7,656.2,1125,1016,1431,1166,1750,10.1,10.5,18.7,99.0,29.1,95.4,152.1,875.0,39.3,91.5,135.2,715.9,69.5,207.2,199.3,900.0,630.0,1086,1086,1086,185.3,145.8,311.9,732.6,311.9,409.1,572.7,1086,182.0,403.8,583.3,1312,431.5,456.5,642.9,829.0,1166,1500,1575,1750,318.2,228.2,379.5,900.0,594.3,642.9,630.0,787.5,248.0,875.0,829.0,1211,594.3,1260,1260,1211,1575,2625,3937,2423,900.0,1260,1260,1369,1575,1853,2423,2423,1260,2863,2863,2863,1658,2423,2863,3150,1166,2100,4500,2423
202608132304,2026-08-13,23,04R,10:02,2026-08-13T09:52:20.930014+09:00,34.6,48.0,191.4,34.4,35.5,43.1,125.6,30.8,41.8,37.5,197.5,13.5,242.5,150.3,331.1,224.7,20.1,20.8,10.6,181.4,118.3,108.4,242.5,131.7,181.4,275.3,453.7,314.1,185.6,255.2,844.8,136.1,422.4,720.6,1166,1065,140.8,298.8,161.1,942.3,128.2,83.9,131.0,90.7,199.2,197.5,462.2,314.1,128.9,222.7,942.3,92.1,395.1,644.7,583.3,980.0,92.8,154.0,86.8,569.8,90.0,84.7,306.2,25.4,189.9,247.4,680.6,125.0,143.2,278.4,942.3,100.0,471.1,644.7,720.6,302.4,21.9,54.4,48.3,184.2,445.4,345.0,401.6,510.4,980.0,907.4,1020,720.6,437.5,1225,1289,1531,742.4,2227,2450,544.4,765.6,1441,2041,680.6,28.4,23.8,11.7,255.2,79.0,146.7,96.4,700.0,50.1,131.0,50.2,720.6,14.9,45.5,29.2,211.2,326.6,720.6,790.3,532.6
202608132305,2026-08-13,23,05R,10:30,2026-08-13T10:20:23.515932+09:00,12.0,12.7,34.0,12.5,24.5,57.0,81.7,56.7,35.0,83.8,117.0,61.5,117.5,116.0,223.2,217.7,29.2,89.7,76.5,187.1,15.1,11.2,31.0,11.1,42.0,63.2,118.0,53.8,35.3,81.0,90.6,42.7,105.0,175.9,136.2,130.8,29.0,83.8,52.6,136.9,80.7,107.1,102.5,155.3,99.5,128.3,225.1,162.0,207.5,185.7,577.5,305.3,328.0,385.0,450.3,632.5,243.7,214.2,279.6,402.5,108.8,265.6,250.6,191.1,102.5,216.0,175.9,107.5,363.9,379.5,781.4,531.3,390.7,268.3,553.5,363.9,273.9,150.9,590.4,354.2,239.3,316.2,291.9,415.1,324.0,374.2,483.0,354.2,402.5,681.2,699.1,1562,531.3,520.9,1265,565.2,483.0,590.4,1107,857.0,84.8,320.1,295.2,617.8,91.3,193.9,160.0,483.0,421.7,363.9,948.8,2043,428.5,227.0,1107,885.6,442.8,632.5,1897,1021
202608131301,2026-08-13,13,01R,10:39,2026-08-13T10:32:25.561284+09:00,16.9,18.8,56.4,244.9,12.8,8.7,25.5,228.4,18.6,13.1,39.3,215.2,97.4,58.5,78.5,318.2,517.1,510.0,547.5,886.5,52.5,70.3,126.2,653.2,72.7,42.9,120.8,809.4,104.8,59.7,132.5,1034,219.0,188.0,203.4,1201,1432,865.8,1329,2659,35.7,18.4,48.6,290.8,61.5,34.0,89.7,564.1,23.9,25.4,30.0,231.2,97.7,104.8,65.2,483.5,641.9,1551,979.8,1241,73.7,41.9,84.6,354.6,96.4,47.3,98.5,759.8,44.5,39.6,50.1,489.9,106.0,119.3,78.0,354.6,930.8,1063,1241,908.1,215.2,150.7,166.9,572.8,253.2,197.0,185.2,809.4,194.9,219.0,124.5,908.1,219.0,232.7,136.3,600.5,1128,1692,1692,1006,1329,1006,1379,2864,2190,2327,1432,3102,1861,2659,1861,2864,1551,2190,1959,1618,3102,3384,3723,1063
202608131601,2026-08-13,16,01R,10:45,2026-08-13T10:36:29.865174+09:00,19.5,54.8,39.7,150.0,13.6,17.3,11.2,96.0,52.7,31.0,50.7,203.1,42.3,22.0,50.9,227.6,251.4,286.9,269.4,394.0,50.8,106.4,96.7,342.9,65.5,152.6,79.2,517.7,166.0,227.6,216.4,334.2,141.9,119.4,218.2,517.7,586.7,977.9,419.1,1015,25.8,25.2,16.3,149.1,53.7,90.1,57.5,342.9,35.9,95.3,35.0,251.4,24.2,48.5,35.6,179.6,455.2,713.6,425.8,455.2,108.6,62.8,60.8,307.0,179.6,157.1,145.8,240.0,68.9,144.2,59.4,480.0,66.0,98.8,63.7,253.8,517.7,307.0,660.0,586.7,97.0,61.1,97.0,261.4,174.8,118.9,204.6,356.8,64.7,87.7,86.8,377.1,95.6,162.9,103.5,377.1,660.0,825.1,488.9,643.9,677.0,800.1,942.9,1200,1015,1056,425.8,942.9,851.7,643.9,1015,733.4,1200,440.0,1650,1100,1650,1320,977.9,851.7
202608132306,2026-08-13,23,06R,11:00,2026-08-13T10:50:25.786981+09:00,57.8,104.6,68.4,51.9,44.4,99.3,37.1,32.7,149.5,156.0,155.0,161.0,72.6,43.9,175.6,17.3,44.0,36.3,125.6,15.0,100.0,146.9,94.1,84.5,148.6,270.1,165.2,188.9,314.0,483.1,558.3,546.1,143.5,220.3,339.5,105.5,144.3,202.6,392.5,120.7,117.4,135.8,64.2,80.5,169.7,224.3,228.4,232.6,344.1,405.2,679.0,411.8,117.4,228.4,279.1,52.6,102.5,157.0,302.7,57.2,364.1,405.2,302.7,344.1,405.2,474.0,644.2,558.3,523.4,761.3,810.4,598.2,380.6,661.1,628.1,259.0,546.1,584.3,628.1,295.5,105.5,86.6,151.3,24.5,148.6,214.7,302.7,82.6,125.0,256.3,398.8,51.3,310.1,558.3,679.0,211.1,17.0,41.8,28.2,98.9,57.7,45.9,170.9,16.9,114.2,140.3,322.1,86.9,69.2,117.4,279.1,34.9,292.1,411.8,364.1,186.1,13.4,33.7,23.8,98.9
202608131302,2026-08-13,13,02R,11:04,2026-08-13T10:54:24.917013+09:00,13.0,24.4,9.8,82.4,21.8,26.8,19.8,145.2,38.8,49.1,25.4,159.0,12.1,17.1,22.1,151.8,115.1,290.4,151.8,607.3,55.2,52.6,34.4,238.6,102.7,148.4,119.3,351.6,123.7,222.7,159.0,417.5,57.1,81.4,113.2,371.1,556.7,334.0,445.4,445.4,81.4,55.6,46.0,167.0,171.3,121.4,111.3,290.4,113.2,190.8,111.3,256.9,52.1,83.5,80.4,202.4,351.6,393.0,607.3,556.7,121.4,133.6,84.5,318.1,159.0,230.3,185.5,417.5,142.1,334.0,133.6,371.1,94.0,94.0,83.5,222.7,668.1,278.3,477.2,954.4,33.2,42.5,67.4,185.5,58.6,99.7,136.3,230.3,99.7,128.4,98.2,445.4,133.6,196.5,148.4,477.2,477.2,445.4,1336,742.3,445.4,351.6,1113,835.1,556.7,393.0,954.4,556.7,371.1,318.1,607.3,954.4,607.3,668.1,1113,1336,607.3,556.7,954.4,742.3
202608132311,2026-08-13,23,11R,13:50,2026-08-13T13:44:20.995997+09:00,4.4,4.1,29.1,29.4,11.7,18.5,62.6,71.6,9.5,20.7,54.3,62.2,141.6,192.1,197.3,280.4,188.9,300.4,236.2,396.1,20.5,16.8,71.3,86.5,85.0,160.7,473.1,538.3,56.6,144.6,297.8,287.6,438.5,912.8,495.4,874.8,602.0,1272,739.9,1199,79.3,127.6,294.1,456.4,142.3,312.7,831.4,954.3,267.0,349.1,938.3,1030,756.5,1127,1056,1486,1365,1731,1768,2300,34.7,75.8,104.4,141.2,61.9,160.1,205.8,222.4,200.9,281.8,583.2,608.5,213.4,265.7,458.9,277.6,361.9,368.3,604.1,499.8,550.6,749.8,599.8,1112,792.2,1112,1017,1447,1069,1447,1845,1953,733.4,1063,1615,1005,1825,2153,2709,1696,711.7,1679,1486,1976,1235,2073,1388,2544,2269,2846,2846,3230,1447,1097,1908,1999,2239,2624,3293,2434
202608131309,2026-08-13,13,09R,14:43,2026-08-13T14:34:25.483092+09:00,16.7,32.7,59.9,140.4,10.1,6.7,13.0,81.8,38.2,17.4,40.9,98.0,78.8,43.6,96.1,205.3,225.3,282.1,235.8,569.6,51.7,110.5,155.6,301.9,62.3,119.8,126.3,413.6,185.2,159.7,368.2,397.2,311.2,245.4,392.1,702.1,431.3,450.6,437.5,973.9,19.6,11.4,20.0,102.3,47.3,68.4,90.9,377.4,20.1,41.5,36.4,122.7,55.9,98.0,78.8,290.3,494.9,774.1,702.1,702.1,122.2,50.9,123.2,343.1,170.5,156.4,304.9,347.0,51.4,116.1,98.6,277.0,181.8,293.1,165.8,580.6,1078,736.4,1887,1372,232.2,149.4,301.9,686.2,347.0,298.9,569.6,816.0,172.5,287.5,237.7,1258,392.1,642.4,351.0,1258,1312,1677,3019,1887,592.0,450.6,862.6,1887,569.6,888.0,838.7,3019,943.5,3019,2516,1776,1589,2012,4313,4313,3354,2744,2744,2516
202608131608,2026-08-13,16,08R,14:40,2026-08-13T14:34:25.483092+09:00,16.1,27.2,47.0,9.0,18.5,34.7,57.6,11.9,42.8,60.1,91.9,26.6,137.3,143.3,170.9,74.4,11.0,13.6,25.8,42.2,64.4,105.7,107.4,39.6,149.0,359.6,385.3,168.5,233.6,420.8,638.0,232.6,361.8,698.0,835.7,565.1,66.0,154.1,240.2,288.0,69.3,103.0,155.7,35.2,137.0,293.7,329.6,165.7,245.1,398.2,452.9,207.4,293.7,426.8,436.2,207.4,67.9,142.9,176.5,274.7,154.1,283.9,241.2,82.6,257.9,494.4,549.4,228.2,459.9,599.3,593.3,304.2,429.9,666.6,618.0,223.0,90.0,161.2,244.1,157.8,302.7,644.9,741.7,327.8,470.9,698.0,847.6,565.1,812.8,760.7,885.6,912.8,835.7,1186,941.8,398.2,400.9,732.5,1040,467.2,25.2,34.7,62.5,89.6,47.9,111.5,212.6,344.9,94.9,153.3,255.7,429.9,110.9,199.1,251.4,243.1,205.3,337.1,494.4,320.7
