config,augmented,second_l2,third_l2,R,hits,hit_rate,worst_month,months,min_month_R
BASE,0,10.0,0.3,204,102,0.5,0.4444444444444444,5,18
AUG_s3_t0.1,1,3.0,0.1,204,104,0.5098039215686274,0.4444444444444444,5,18
AUG_s3_t0.3,1,3.0,0.3,204,104,0.5098039215686274,0.4444444444444444,5,18
AUG_s3_t1,1,3.0,1.0,204,104,0.5098039215686274,0.4444444444444444,5,18
AUG_s10_t0.1,1,10.0,0.1,204,104,0.5098039215686274,0.4444444444444444,5,18
AUG_s10_t0.3,1,10.0,0.3,204,104,0.5098039215686274,0.4444444444444444,5,18
AUG_s10_t1,1,10.0,1.0,204,104,0.5098039215686274,0.4444444444444444,5,18
AUG_s30_t0.1,1,30.0,0.1,204,104,0.5098039215686274,0.4444444444444444,5,18
AUG_s30_t0.3,1,30.0,0.3,204,104,0.5098039215686274,0.4444444444444444,5,18
AUG_s30_t1,1,30.0,1.0,204,104,0.5098039215686274,0.4444444444444444,5,18
