month,race_code,head_hit,actual2,actual3,second_rank,second_top1,second_top2,second_top3,exact3,config
2026-02,202602012102,0,1,6,,0,0,0,0,PAIR_ow1.0_m1.00
2026-02,202602012104,1,2,3,1.0,1,1,1,1,PAIR_ow1.0_m1.00
2026-02,202602020612,1,3,4,1.0,1,1,1,1,PAIR_ow1.0_m1.00
2026-02,202602020711,1,2,5,1.0,1,1,1,0,PAIR_ow1.0_m1.00
2026-02,202602021001,1,3,5,2.0,0,1,1,0,PAIR_ow1.0_m1.00
2026-02,202602021308,1,2,4,2.0,0,1,1,0,PAIR_ow1.0_m1.00
2026-02,202602040405,1,5,3,4.0,0,0,0,0,PAIR_ow1.0_m1.00
2026-02,202602040612,1,5,6,4.0,0,0,0,0,PAIR_ow1.0_m1.00
2026-02,202602050405,0,1,3,,0,0,0,0,PAIR_ow1.0_m1.00
2026-02,202602060106,0,2,3,,0,0,0,0,PAIR_ow1.0_m1.00
2026-02,202602071803,1,2,3,2.0,0,1,1,1,PAIR_ow1.0_m1.00
2026-02,202602091611,1,2,3,2.0,0,1,1,1,PAIR_ow1.0_m1.00
2026-02,202602102008,1,2,3,1.0,1,1,1,1,PAIR_ow1.0_m1.00
2026-02,202602102303,1,3,4,1.0,1,1,1,1,PAIR_ow1.0_m1.00
2026-02,202602110612,1,2,6,2.0,0,1,1,0,PAIR_ow1.0_m1.00
2026-02,202602111305,1,6,2,5.0,0,0,0,0,PAIR_ow1.0_m1.00
2026-02,202602111611,1,2,4,2.0,0,1,1,1,PAIR_ow1.0_m1.00
2026-02,202602112009,1,3,4,2.0,0,1,1,0,PAIR_ow1.0_m1.00
2026-02,202602121512,1,2,5,1.0,1,1,1,1,PAIR_ow1.0_m1.00
2026-02,202602130604,1,5,2,4.0,0,0,0,0,PAIR_ow1.0_m1.00
2026-02,202602132105,1,5,3,3.0,0,0,1,0,PAIR_ow1.0_m1.00
2026-02,202602140106,1,3,6,1.0,1,1,1,0,PAIR_ow1.0_m1.00
2026-02,202602140611,1,6,3,3.0,0,0,1,0,PAIR_ow1.0_m1.00
2026-02,202602141701,1,2,5,1.0,1,1,1,0,PAIR_ow1.0_m1.00
