actual_combo,actual_rank20,actual_second_rank,actual_third_rank,approved_A,approved_A_wind_v83,approved_S,approved_S_wind_v83,date,delta_CORR20_v91,delta_CORR25_v91,delta_CORR32_v91,delta_CORR35_v91,delta_RAW20_v91,delta_RAW25_v91,delta_RAW32_v91,delta_RAW35_v91,entry_confirmed_same,entry_course_preview,entry_gate_keep,entry_source_type,entry_status,grade,has_orig,has_stt,has_tkz,head,head_hit,history_adjust_online,history_pct_online,kimarite,model,payout100,period_v90,period_v91,preview_comp,production_buy,race_code,ranked_others,relative_deg,relative_wind,route_hit,score,score_BASE_v91,score_CORR20_v91,score_CORR25_v91,score_CORR32_v91,score_CORR35_v91,score_RAW20_v91,score_RAW25_v91,score_RAW32_v91,score_RAW35_v91,score_wind_v83,st5_combo_corr_v90,st5_combo_raw_v90,st_bias1_v90,st_bias2_v90,st_bias3_v90,st_bias4_v90,st_bias5_v90,st_bias6_v90,st_corr_rank_b1,st_corr_rank_b2,st_corr_rank_b3,st_corr_rank_b4,st_corr_rank_b5,st_corr_rank_b6,st_corr_strength_b1,st_corr_strength_b2,st_corr_strength_b3,st_corr_strength_b4,st_corr_strength_b5,st_corr_strength_b6,st_raw_b1,st_raw_b2,st_raw_b3,st_raw_b4,st_raw_b5,st_raw_b6,st_raw_rank_b1,st_raw_rank_b2,st_raw_rank_b3,st_raw_rank_b4,st_raw_rank_b5,st_raw_rank_b6,st_raw_strength_b1,st_raw_strength_b2,st_raw_strength_b3,st_raw_strength_b4,st_raw_strength_b5,st_raw_strength_b6,st_source_v90,ticket20_hit,ticket6_hit,tickets20_display,tickets6,tilt,tilt_bonus,v91_avg,v91_base_comp_recalc,v91_ex,v91_st_corr,v91_st_raw,v91_straight,valid_payout,valid_result,venue_code_v83,venue_v83,wind_adjust_points,wind_bin,wind_cell,wind_class_old_only,wind_code,wind_old_head_rate,wind_old_lift_pt,wind_old_model_base,wind_old_n,wind_source_type,wind_speed,winner
4-5-1,6,2,3,0,0,0,0,2025-11-01,6.0,3.0,,,6.0,3.0,,,1,4,1,backfill,same,B,1,1,1,4,1,2.0,1.0,まくり,4カドまくり,2550,prior7,prior7,0.349,0,202511010110,2-5-1-6-3,315,追い,1,36.86,36.86,42.86,39.86,,,42.86,39.86,,,34.86,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4,5,6,3,2,1.0,0.4,0.2,0.0,0.6,0.8,0.03,0.08,0.09,0.18,0.05,0.04,1,4,5,6,3,2,1.0,0.4,0.2,0.0,0.6,0.8,backfill,1,1,4-2-5;4-5-2;4-2-1;4-1-2;4-2-6;4-5-1;4-1-5;4-2-3;4-6-2;4-5-6;4-6-5;4-5-3;4-3-2;4-1-6;4-6-1;4-3-5;4-1-3;4-3-1;4-6-3;4-3-6,4-2-5;4-2-1;4-2-6;4-5-2;4-5-1;4-5-6,0,-0.04,0.53333,0.349,0.4,0.0,0.0,0.6,1,1,1,桐生,-2.0,0-2m,追い_0-2m,unfavorable,2,15.0,-8.5714,23.5714,100,backfill,2.0,4
1-5-4,0,1,0,0,0,0,0,2025-11-01,0.0,0.0,,,0.0,0.0,,,0,5,0,backfill,changed,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,680,prior7,prior7,0.345,0,202511010804,5-1-6-2-3,90,右横,0,36.46,36.46,36.46,36.46,,,36.46,36.46,,,36.46,,,0.0,0.0,0.0,0.0,0.0,0.0,3,1,4,6,2,5,0.6,1.0,0.4,0.0,0.8,0.2,-0.05,-0.18,0.01,0.14,-0.11,0.05,3,1,4,6,2,5,0.6,1.0,0.4,0.0,0.8,0.2,backfill,0,0,4-5-1;4-1-5;4-5-6;4-6-5;4-5-2;4-1-6;4-6-1;4-5-3;4-2-5;4-1-2;4-2-1;4-1-3;4-3-5;4-6-2;4-2-6;4-3-1;4-6-3;4-3-6;4-2-3;4-3-2,4-5-1;4-5-6;4-5-2;4-1-5;4-1-6;4-1-2,0,-0.04,0.26667,0.345,1.0,0.0,0.0,0.0,1,1,8,常滑,0.0,3-4m,右横_3-4m,neutral,1,31.25,7.6786,23.5714,32,backfill,3.0,1
1-2-3,0,3,0,0,0,0,0,2025-11-01,,,-3.2,-5.6,,,-3.2,-5.6,1,3,1,backfill,same,B,1,1,1,3,0,2.0,1.0,逃げ,3まくり,1650,prior7,prior7,0.30567,0,202511010807,5-1-2-6-4,90,右横,0,32.5167,32.5167,,,29.3167,26.9167,,,29.3167,26.9167,34.5167,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,6,4,5,2,1.0,0.6,0.0,0.4,0.2,0.8,0.05,0.12,0.16,0.14,0.15,0.05,1,3,6,4,5,2,1.0,0.6,0.0,0.4,0.2,0.8,backfill,0,0,3-5-1;3-1-5;3-5-2;3-2-5;3-5-6;3-1-2;3-2-1;3-5-4;3-6-5;3-1-6;3-6-1;3-1-4;3-4-5;3-2-6;3-6-2;3-4-1;3-2-4;3-4-2;3-6-4;3-4-6,3-5-1;3-5-2;3-5-6;3-1-5;3-1-2;3-1-6,-0.5,-0.05,0.33333,0.305667,0.8,0.0,0.0,0.0,1,1,8,常滑,2.0,3-4m,右横_3-4m,favorable,1,30.7692,5.8214,24.9478,65,backfill,3.0,1
6-1-4,0,3,2,0,0,0,0,2025-11-01,,,0.8,1.4,,,0.8,1.4,0,4,0,backfill,changed,B,1,1,1,3,0,2.0,1.0,逃げ,3まくり,1450,prior7,prior7,0.40567,0,202511010808,6-4-1-5-2,90,右横,0,42.3567,42.3567,,,43.1567,43.7567,,,43.1567,43.7567,44.3567,,,0.0,0.0,0.0,0.0,0.0,0.0,2,6,4,5,3,1,0.8,0.0,0.4,0.2,0.6,1.0,0.2,0.36,0.22,0.24,0.21,0.18,2,6,4,5,3,1,0.8,0.0,0.4,0.2,0.6,1.0,backfill,0,0,3-6-4;3-4-6;3-6-1;3-1-6;3-6-5;3-4-1;3-1-4;3-6-2;3-5-6;3-4-5;3-5-4;3-4-2;3-2-6;3-1-5;3-5-1;3-2-4;3-1-2;3-2-1;3-5-2;3-2-5,3-6-4;3-6-1;3-6-5;3-4-6;3-4-1;3-4-5,0,-0.21,0.73333,0.405667,0.2,0.4,0.4,0.4,1,1,8,常滑,2.0,3-4m,右横_3-4m,favorable,1,30.7692,5.8214,24.9478,65,backfill,4.0,6
1-3-5,0,0,2,0,0,0,0,2025-11-01,,,-0.8,-1.4,,,-0.8,-1.4,1,3,1,backfill,same,B,1,1,1,3,0,2.0,1.0,逃げ,3まくり,5480,prior7,prior7,0.315,0,202511010906,6-5-2-1-4,270,左横,0,33.45,33.45,,,32.65,32.05,,,32.65,32.05,33.45,,,0.0,0.0,0.0,0.0,0.0,0.0,3,4,6,5,1,2,0.6,0.4,0.0,0.2,1.0,0.8,0.07,0.11,0.21,0.12,-0.01,0.0,3,4,6,5,1,2,0.6,0.4,0.0,0.2,1.0,0.8,backfill,0,0,3-6-5;3-5-6;3-6-2;3-2-6;3-6-1;3-5-2;3-2-5;3-6-4;3-1-6;3-5-1;3-1-5;3-5-4;3-4-6;3-2-1;3-1-2;3-4-5;3-2-4;3-4-2;3-1-4;3-4-1,3-6-5;3-6-2;3-6-1;3-5-6;3-5-2;3-5-1,-0.5,-0.05,0.6,0.315,0.2,0.0,0.0,0.6,1,1,9,津,0.0,3-4m,左横_3-4m,neutral,1,25.974,1.0262,24.9478,77,backfill,3.0,1
3-1-5,5,1,4,1,1,0,0,2025-11-01,,,0.8,1.4,,,0.8,1.4,1,3,1,backfill,same,A,1,1,1,3,1,2.0,1.0,まくり,3まくり,5100,prior7,prior7,0.617,1,202511010911,1-6-4-5-2,270,左横,1,63.49,63.49,,,64.29,64.89,,,64.29,64.89,63.49,,,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,6,4,3,1.0,0.2,0.8,0.0,0.4,0.6,0.01,0.11,0.04,0.2,0.07,0.06,1,5,2,6,4,3,1.0,0.2,0.8,0.0,0.4,0.6,backfill,1,1,3-1-6;3-6-1;3-1-4;3-4-1;3-1-5;3-6-4;3-4-6;3-1-2;3-5-1;3-6-5;3-5-6;3-6-2;3-2-1;3-4-5;3-5-4;3-2-6;3-4-2;3-2-4;3-5-2;3-2-5,3-1-6;3-1-4;3-1-5;3-6-1;3-6-4;3-6-5,0,-0.21,0.4,0.617,0.6,0.8,0.8,0.6,1,1,9,津,0.0,5m+,左横_5m+,neutral,1,28.0,3.0522,24.9478,25,backfill,7.0,3
6-5-1,0,4,1,0,0,0,0,2025-11-01,,,-4.0,-7.0,,,-4.0,-7.0,1,3,1,backfill,same,B,1,1,1,3,0,2.0,1.0,まくり差し,3まくり,66170,prior7,prior7,0.36167,0,202511011101,1-6-2-5-4,0,追い,0,41.1667,41.1667,,,37.1667,34.1667,,,37.1667,34.1667,41.1667,,,0.0,0.0,0.0,0.0,0.0,0.0,3,1,6,4,2,5,0.6,1.0,0.0,0.4,0.8,0.2,0.16,0.01,0.35,0.17,0.08,0.27,3,1,6,4,2,5,0.6,1.0,0.0,0.4,0.8,0.2,backfill,0,0,3-1-6;3-6-1;3-1-2;3-2-1;3-1-5;3-6-2;3-2-6;3-1-4;3-5-1;3-6-5;3-5-6;3-6-4;3-4-1;3-2-5;3-5-2;3-4-6;3-2-4;3-4-2;3-5-4;3-4-5,3-1-6;3-1-2;3-1-5;3-6-1;3-6-2;3-6-5,2.5,3.0,0.33333,0.361667,1.0,0.0,0.0,0.0,1,1,11,びわこ,0.0,0-2m,追い_0-2m,neutral,1,25.8503,0.9025,24.9478,147,backfill,2.0,6
1-4-2,0,0,2,0,0,0,0,2025-11-01,2.0,1.0,,,2.0,1.0,,,1,4,1,backfill,same,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,420,prior7,prior7,0.377,0,202511011104,1-2-6-3-5,0,追い,0,38.51,38.51,40.51,39.51,,,40.51,39.51,,,38.51,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,2,4,5,6,1.0,0.6,0.8,0.4,0.2,0.0,0.08,0.21,0.17,0.22,0.23,0.23,1,3,2,4,5,6,1.0,0.6,0.8,0.4,0.2,0.0,backfill,0,0,4-1-2;4-2-1;4-1-6;4-6-1;4-1-3;4-2-6;4-6-2;4-1-5;4-3-1;4-2-3;4-3-2;4-2-5;4-5-1;4-6-3;4-3-6;4-5-2;4-6-5;4-5-6;4-3-5;4-5-3,4-1-2;4-1-6;4-1-3;4-2-1;4-2-6;4-2-3,-0.5,-1.19,0.66667,0.377,0.0,0.4,0.4,0.6,1,1,11,びわこ,0.0,3-4m,追い_3-4m,neutral,1,22.2222,-1.3492,23.5714,81,backfill,4.0,1
6-2-1,0,3,2,1,0,0,0,2025-11-01,-3.0,-1.5,,,-3.0,-1.5,,,1,4,1,backfill,same,A,1,1,1,4,0,2.0,1.0,まくり差し,4カドまくり,15720,prior7,prior7,0.551,0,202511011204,6-1-2-3-5,0,追い,0,55.91,55.91,52.91,54.41,,,52.91,54.41,,,53.91,,,0.0,0.0,0.0,0.0,0.0,0.0,5,6,4,2,1,3,0.2,0.0,0.4,0.8,1.0,0.6,0.23,0.26,0.22,0.12,-0.03,0.18,5,6,4,2,1,3,0.2,0.0,0.4,0.8,1.0,0.6,backfill,0,0,4-6-1;4-1-6;4-6-2;4-2-6;4-6-3;4-1-2;4-2-1;4-6-5;4-3-6;4-1-3;4-3-1;4-1-5;4-5-6;4-2-3;4-3-2;4-5-1;4-2-5;4-5-2;4-3-5;4-5-3,4-6-1;4-6-2;4-6-3;4-1-6;4-1-2;4-1-3,-0.5,-1.19,0.8,0.551,0.2,0.8,0.8,0.5,1,1,12,住之江,-2.0,0-2m,追い_0-2m,unfavorable,1,15.0,-8.5714,23.5714,100,backfill,1.0,6
1-2-5,0,4,5,0,0,0,0,2025-11-01,,,-0.8,-1.4,,,-0.8,-1.4,1,3,1,backfill,same,B,1,1,1,3,0,2.0,1.0,逃げ,3まくり,4420,prior7,prior7,0.242,0,202511011209,4-6-1-2-5,0,追い,0,26.15,26.15,,,25.35,24.75,,,25.35,24.75,26.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4,6,2,5,3,1.0,0.4,0.0,0.8,0.2,0.6,-0.02,0.05,0.09,-0.02,0.05,-0.02,1,4,6,2,5,3,1.0,0.4,0.0,0.8,0.2,0.6,backfill,0,0,3-4-6;3-6-4;3-4-1;3-1-4;3-4-2;3-6-1;3-1-6;3-4-5;3-2-4;3-6-2;3-2-6;3-6-5;3-5-4;3-1-2;3-2-1;3-5-6;3-1-5;3-5-1;3-2-5;3-5-2,3-4-6;3-4-1;3-4-2;3-6-4;3-6-1;3-6-2,-0.5,-0.05,0.3,0.242,0.2,0.0,0.0,0.5,1,1,12,住之江,0.0,0-2m,追い_0-2m,neutral,1,25.8503,0.9025,24.9478,147,backfill,1.0,1
1-3-6,0,0,5,0,0,0,0,2025-11-01,,,-2.4,-4.2,,,-2.4,-4.2,1,3,1,backfill,same,B,1,1,1,3,0,2.0,1.0,逃げ,3まくり,710,prior7,prior7,0.417,0,202511011706,1-4-5-2-6,45,右横,0,43.65,43.65,,,41.25,39.45,,,41.25,39.45,45.65,,,0.0,0.0,0.0,0.0,0.0,0.0,4,3,5,1,2,6,0.4,0.6,0.2,1.0,0.8,0.0,0.13,0.07,0.17,-0.04,-0.03,0.29,4,3,5,1,2,6,0.4,0.6,0.2,1.0,0.8,0.0,backfill,0,0,3-1-4;3-4-1;3-1-5;3-5-1;3-1-2;3-4-5;3-5-4;3-1-6;3-2-1;3-4-2;3-2-4;3-4-6;3-6-1;3-5-2;3-2-5;3-6-4;3-5-6;3-6-5;3-2-6;3-6-2,3-1-4;3-1-5;3-1-2;3-4-1;3-4-5;3-4-2,-0.5,-0.05,0.4,0.417,0.8,0.2,0.2,0.2,1,1,17,宮島,2.0,3-4m,右横_3-4m,favorable,4,30.7692,5.8214,24.9478,65,backfill,3.0,1
1-4-2,0,0,2,1,1,0,0,2025-11-01,-2.0,-1.0,,,-2.0,-1.0,,,1,4,1,backfill,same,A,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,550,prior7,prior7,0.629,0,202511012005,1-2-6-5-3,0,追い,0,64.86,64.86,62.86,63.86,,,62.86,63.86,,,62.86,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4,5,2,3,6,1.0,0.4,0.2,0.8,0.6,0.0,0.07,0.11,0.19,0.09,0.09,0.19,1,4,5,2,3,6,1.0,0.4,0.2,0.8,0.6,0.0,backfill,0,0,4-1-2;4-2-1;4-1-6;4-6-1;4-1-5;4-2-6;4-6-2;4-1-3;4-5-1;4-2-5;4-5-2;4-2-3;4-3-1;4-6-5;4-5-6;4-3-2;4-6-3;4-3-6;4-5-3;4-3-5,4-1-2;4-1-6;4-1-5;4-2-1;4-2-6;4-2-5,0,-0.04,0.8,0.629,0.4,0.8,0.8,0.6,1,1,20,若松,-2.0,0-2m,追い_0-2m,unfavorable,1,15.0,-8.5714,23.5714,100,backfill,1.0,1
1-3-2,0,3,2,0,0,0,0,2025-11-02,-6.0,-3.0,,,-10.0,-8.0,,,1,4,1,backfill,same,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,920,prior7,prior7,0.503,0,202511020506,1-2-3-6-5,,missing,0,51.11,51.11,45.11,48.11,,,41.11,43.11,,,51.11,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,3,4,6,1,2,5,0.6,0.4,0.0,1.0,0.8,0.2,0.03,0.17,0.22,0.04,0.05,0.21,1,4,6,2,3,5,1.0,0.4,0.0,0.8,0.6,0.2,backfill,0,0,4-1-2;4-2-1;4-1-3;4-3-1;4-1-6;4-2-3;4-3-2;4-1-5;4-6-1;4-2-6;4-6-2;4-2-5;4-5-1;4-3-6;4-6-3;4-5-2;4-3-5;4-5-3;4-6-5;4-5-6,4-1-2;4-1-3;4-1-6;4-2-1;4-2-3;4-2-6,-0.5,-1.19,0.6,0.503,0.0,1.0,0.8,0.4,1,1,5,多摩川,0.0,0-2m,missing,neutral,0,0,0,0,0,backfill,1.0,1
4-6-5,5,1,4,0,0,0,0,2025-11-02,6.0,3.0,,,6.0,3.0,,,1,4,1,backfill,same,B,1,1,1,4,1,-2.0,0.0,まくり,4カドまくり,1730,prior7,prior7,0.371,0,202511021105,6-2-1-5-3,0,追い,1,35.06,35.06,41.06,38.06,,,41.06,38.06,,,35.06,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,2,1,4,5,6,3,0.8,1.0,0.4,0.2,0.0,0.6,-0.01,-0.01,0.11,0.19,0.28,0.09,1,2,4,5,6,3,1.0,0.8,0.4,0.2,0.0,0.6,backfill,1,1,4-6-2;4-2-6;4-6-1;4-1-6;4-6-5;4-2-1;4-1-2;4-6-3;4-5-6;4-2-5;4-5-2;4-2-3;4-3-6;4-1-5;4-5-1;4-3-2;4-1-3;4-3-1;4-5-3;4-3-5,4-6-2;4-6-1;4-6-5;4-2-6;4-2-1;4-2-5,0,-0.04,0.73333,0.371,0.0,0.2,0.2,0.8,1,1,11,びわこ,0.0,3-4m,追い_3-4m,neutral,1,22.2222,-1.3492,23.5714,81,backfill,4.0,4
1-4-6,0,0,2,0,0,0,0,2025-11-02,-2.0,-1.0,,,-2.0,-1.0,,,1,4,1,backfill,same,B,1,1,1,4,0,-2.0,0.0,逃げ,4カドまくり,2420,prior7,prior7,0.175,0,202511021107,2-6-1-5-3,0,追い,0,14.31,14.31,12.31,13.31,,,12.31,13.31,,,14.31,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,1,3,6,5,4,2,1.0,0.6,0.0,0.2,0.4,0.8,0.02,0.13,0.28,0.26,0.25,0.05,1,3,6,5,4,2,1.0,0.6,0.0,0.2,0.4,0.8,backfill,0,0,4-2-6;4-6-2;4-2-1;4-1-2;4-2-5;4-6-1;4-1-6;4-2-3;4-5-2;4-6-5;4-5-6;4-6-3;4-3-2;4-1-5;4-5-1;4-3-6;4-1-3;4-3-1;4-5-3;4-3-5,4-2-6;4-2-1;4-2-5;4-6-2;4-6-1;4-6-5,-0.5,-1.19,0.6,0.175,0.0,0.2,0.2,0.0,1,1,11,びわこ,0.0,5m+,追い_5m+,neutral,1,19.3548,-4.2166,23.5714,31,backfill,5.0,1
5-3-6,0,0,4,0,0,0,0,2025-11-02,,,0.0,0.0,,,-6.4,-7.0,1,3,1,backfill,same,B,1,1,1,3,0,2.0,1.0,まくり,3まくり,23280,prior7,prior7,0.366,0,202511021203,5-1-4-6-2,0,追い,0,38.55,38.55,,,38.55,38.55,,,32.15,31.55,38.55,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,6,2,5,4,3,1,0.0,0.8,0.2,0.4,0.6,1.0,-0.02,-0.14,-0.01,-0.04,-0.08,-0.17,5,2,6,4,3,1,0.2,0.8,0.0,0.4,0.6,1.0,backfill,0,0,3-5-1;3-1-5;3-5-4;3-4-5;3-5-6;3-1-4;3-4-1;3-5-2;3-6-5;3-1-6;3-6-1;3-1-2;3-2-5;3-4-6;3-6-4;3-2-1;3-4-2;3-2-4;3-6-2;3-2-6,3-5-1;3-5-4;3-5-6;3-1-5;3-1-4;3-1-6,-0.5,-0.05,0.7,0.366,0.2,0.2,0.0,0.5,1,1,12,住之江,0.0,0-2m,追い_0-2m,neutral,1,25.8503,0.9025,24.9478,147,backfill,1.0,5
1-3-2,0,0,5,1,1,1,1,2025-11-02,,,-0.8,-1.4,,,-0.8,-1.4,1,3,1,backfill,same,S,1,1,1,3,0,2.0,1.0,逃げ,3まくり,950,prior7,prior7,0.792,1,202511021208,1-5-6-4-2,0,追い,0,81.15,81.15,,,80.35,79.75,,,80.35,79.75,81.15,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,6,5,2,4,3,1,0.0,0.2,0.8,0.4,0.6,1.0,0.14,0.16,0.1,0.13,0.11,0.08,5,6,2,4,3,1,0.2,0.0,0.8,0.4,0.6,1.0,backfill,0,0,3-1-5;3-5-1;3-1-6;3-6-1;3-1-4;3-5-6;3-6-5;3-1-2;3-4-1;3-5-4;3-4-5;3-5-2;3-2-1;3-6-4;3-4-6;3-2-5;3-6-2;3-2-6;3-4-2;3-2-4,3-1-5;3-1-6;3-1-4;3-5-1;3-5-6;3-5-4,-0.5,-0.05,0.9,0.792,1.0,0.8,0.8,0.5,1,1,12,住之江,0.0,0-2m,追い_0-2m,neutral,1,25.8503,0.9025,24.9478,147,backfill,2.0,1
3-2-1,16,5,2,0,0,0,0,2025-11-02,,,0.8,1.4,,,-5.6,-5.6,1,3,1,backfill,same,B,1,1,1,3,1,-2.0,0.0,まくり差し,3まくり,4210,prior7,prior7,0.439,0,202511021210,6-1-5-4-2,,missing,0,41.85,41.85,,,42.65,43.25,,,36.25,36.25,41.85,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,5,3,4,1,2,6,0.2,0.6,0.4,1.0,0.8,0.0,0.1,0.07,0.11,0.03,0.05,0.13,4,3,5,1,2,6,0.4,0.6,0.2,1.0,0.8,0.0,backfill,1,0,3-6-1;3-1-6;3-6-5;3-5-6;3-6-4;3-1-5;3-5-1;3-6-2;3-4-6;3-1-4;3-4-1;3-1-2;3-2-6;3-5-4;3-4-5;3-2-1;3-5-2;3-2-5;3-4-2;3-2-4,3-6-1;3-6-5;3-6-4;3-1-6;3-1-5;3-1-4,-0.5,-0.05,0.8,0.439,0.2,0.4,0.2,0.5,1,1,12,住之江,0.0,0-2m,missing,neutral,0,0,0,0,0,backfill,2.0,3
3-1-4,6,2,3,1,1,0,0,2025-11-02,,,0.0,0.0,,,0.0,0.0,1,3,1,backfill,same,A,1,1,1,3,1,2.0,1.0,まくり,3まくり,1010,prior7,prior7,0.53833,1,202511021505,5-1-4-6-2,0,追い,1,55.7833,55.7833,,,55.7833,55.7833,,,55.7833,55.7833,55.7833,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,6,5,4,1,3,2,0.0,0.2,0.4,1.0,0.6,0.8,0.06,0.03,-0.02,-0.14,-0.03,-0.09,6,5,4,1,3,2,0.0,0.2,0.4,1.0,0.6,0.8,backfill,1,1,3-5-1;3-1-5;3-5-4;3-4-5;3-5-6;3-1-4;3-4-1;3-5-2;3-6-5;3-1-6;3-6-1;3-1-2;3-2-5;3-4-6;3-6-4;3-2-1;3-4-2;3-2-4;3-6-2;3-2-6,3-5-1;3-5-4;3-5-6;3-1-5;3-1-4;3-1-6,-0.5,-0.05,0.66667,0.538333,0.4,0.4,0.4,0.8,1,1,15,丸亀,0.0,5m+,追い_5m+,neutral,1,26.6667,1.7189,24.9478,45,backfill,5.0,3
1-2-6,0,4,3,0,0,0,0,2025-11-02,,,2.4,4.2,,,-4.0,-2.8,1,3,1,backfill,same,B,1,1,1,3,0,-2.0,0.0,逃げ,3まくり,3010,prior7,prior7,0.28367,0,202511021511,1-5-6-2-4,0,追い,0,26.3167,26.3167,,,28.7167,30.5167,,,22.3167,23.5167,26.3167,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,5,1,3,6,2,4,0.2,1.0,0.6,0.0,0.8,0.4,0.02,-0.06,0.04,0.06,0.01,0.04,3,1,4,6,2,5,0.6,1.0,0.4,0.0,0.8,0.2,backfill,0,0,3-1-5;3-5-1;3-1-6;3-6-1;3-1-2;3-5-6;3-6-5;3-1-4;3-2-1;3-5-2;3-2-5;3-5-4;3-4-1;3-6-2;3-2-6;3-4-5;3-6-4;3-4-6;3-2-4;3-4-2,3-1-5;3-1-6;3-1-2;3-5-1;3-5-6;3-5-2,-0.5,-0.05,0.53333,0.283667,0.0,0.6,0.4,0.0,1,1,15,丸亀,0.0,3-4m,追い_3-4m,neutral,1,22.2222,-2.7256,24.9478,90,backfill,4.0,1
1-2-5,0,4,3,0,0,0,0,2025-11-02,-8.0,-4.0,,,-12.0,-9.0,,,1,4,1,backfill,same,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,910,prior7,prior7,0.351,0,202511021901,1-6-5-2-3,0,追い,0,37.06,37.06,29.06,33.06,,,25.06,28.06,,,37.06,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,1,3,6,2,5,4,1.0,0.6,0.0,0.8,0.2,0.4,-0.02,0.08,0.18,0.08,0.16,0.09,1,2,6,3,5,4,1.0,0.8,0.0,0.6,0.2,0.4,backfill,0,0,4-1-6;4-6-1;4-1-5;4-5-1;4-1-2;4-6-5;4-5-6;4-1-3;4-2-1;4-6-2;4-2-6;4-6-3;4-3-1;4-5-2;4-2-5;4-3-6;4-5-3;4-3-5;4-2-3;4-3-2,4-1-6;4-1-5;4-1-2;4-6-1;4-6-5;4-6-2,0,-0.04,0.2,0.351,0.2,0.8,0.6,0.0,1,1,19,下関,0.0,5m+,追い_5m+,neutral,1,19.3548,-4.2166,23.5714,31,backfill,5.0,1
3-5-6,7,3,2,0,0,0,0,2025-11-02,,,2.4,4.2,,,2.4,4.2,1,3,1,backfill,same,B,1,1,1,3,1,-2.0,0.0,まくり,3まくり,2480,prior7,prior7,0.47233,0,202511022002,1-6-5-2-4,0,追い,1,45.1833,45.1833,,,47.5833,49.3833,,,47.5833,49.3833,45.1833,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,5,3,2,1,6,4,0.2,0.6,0.8,1.0,0.0,0.4,0.06,-0.01,-0.04,-0.08,0.12,0.08,4,3,2,1,6,5,0.4,0.6,0.8,1.0,0.0,0.2,backfill,1,0,3-1-6;3-6-1;3-1-5;3-5-1;3-1-2;3-6-5;3-5-6;3-1-4;3-2-1;3-6-2;3-2-6;3-6-4;3-4-1;3-5-2;3-2-5;3-4-6;3-5-4;3-4-5;3-2-4;3-4-2,3-1-6;3-1-5;3-1-2;3-6-1;3-6-5;3-6-2,-0.5,-0.05,0.46667,0.472333,0.2,0.8,0.8,0.4,1,1,20,若松,0.0,5m+,追い_5m+,neutral,1,26.6667,1.7189,24.9478,45,backfill,7.0,3
1-4-5,0,0,1,0,0,0,0,2025-11-02,0.0,0.0,,,0.0,0.0,,,0,3,0,backfill,changed,B,1,1,1,4,0,2.0,1.0,逃げ,4カドまくり,900,prior7,prior7,0.325,0,202511022006,5-6-1-2-3,0,追い,0,34.46,34.46,34.46,34.46,,,34.46,34.46,,,34.46,,,-0.02203,-0.00094,0.00438,0.006111,0.009444,0.003034,3,0,5,4,1,2,0.5,0.5,0.0,0.25,1.0,0.75,0.17,,0.54,0.2,-0.02,0.01,3,0,5,4,1,2,0.5,0.5,0.0,0.25,1.0,0.75,backfill,0,0,4-5-6;4-6-5;4-5-1;4-1-5;4-5-2;4-6-1;4-1-6;4-5-3;4-2-5;4-6-2;4-2-6;4-6-3;4-3-5;4-1-2;4-2-1;4-3-6;4-1-3;4-3-1;4-2-3;4-3-2,4-5-6;4-5-1;4-5-2;4-6-5;4-6-1;4-6-2,0,-0.04,0.66667,0.325,0.25,0.25,0.25,0.25,1,1,20,若松,0.0,5m+,追い_5m+,neutral,1,19.3548,-4.2166,23.5714,31,backfill,7.0,1
