レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202608200201,2026-08-20,02,01R,堂原 洋史,3.70,0.16,3.5,4,,IP,5,,IP,6,,G3,5,,IP,2,,IP,2,,IP,5,3,IP,4,,IP,4,,IP,5,,IP,本吉 正樹,5.20,0.14,3.4,4,,IP,3,,IP,6,,IP,1,,IP,4,,IP,4,,IP,1,,IP,2,,IP,6,3,IP,4,,IP,野相 弘司,5.60,0.13,2.4,3,,IP,2,,IP,5,,IP,5,,IP,2,,IP,4,,IP,3,,IP,2,,IP,4,,IP,2,,IP,黄金井 力良,4.60,0.15,2.5,5,,IP,4,6,IP,5,,G3,4,,G3,5,,IP,2,,IP,4,,IP,3,,IP,4,,IP,1,,IP,坂東 満,2.60,0.15,3.9,6,,IP,6,,IP,6,,IP,3,,IP,2,,IP,6,,IP,5,,IP,4,,IP,6,,IP,6,,IP,乃村 康友,3.10,0.20,4.8,6,,IP,3,,IP,6,,IP,5,,IP,3,,IP,6,,IP,6,,IP,1,,IP,6,,IP,5,,IP
202608200202,2026-08-20,02,02R,野中 義生,6.10,0.21,4.1,5,,IP,3,,IP,2,,IP,6,,IP,2,,IP,3,,IP,2,,IP,1,,G3,1,,G3,5,,IP,東本 勝利,5.00,0.14,2.9,5,,IP,3,3,IP,3,,IP,6,,IP,2,,IP,5,,IP,2,,IP,2,,IP,2,,IP,6,,G3,三川 昂暁,4.90,0.18,2.4,4,,IP,1,,IP,6,,IP,3,,IP,1,,IP,3,,IP,6,,IP,2,,IP,5,2,IP,6,,IP,加藤 高史,5.00,0.19,4.6,2,,G3,4,,G3,2,,G3,2,,IP,5,,IP,5,,IP,4,,IP,4,,IP,4,,IP,3,,IP,尾嶋 一広,4.80,0.13,2.9,4,,IP,3,,G3,1,,G3,4,,IP,4,,IP,5,,IP,2,,IP,5,,IP,4,,G1,6,,G1,竹内 来,1.80,0.20,4.0,6,,IP,5,,IP,5,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,3,,IP,5,,IP
202608200203,2026-08-20,02,03R,柴田 朋哉,8.00,0.14,2.7,1,,IP,2,,IP,4,,IP,2,,IP,4,,G3,1,,IP,1,,IP,1,,IP,1,,IP,4,,IP,木村 亮太,7.20,0.11,3.0,2,,IP,1,,IP,2,,IP,4,,IP,1,,IP,2,,IP,4,,IP,2,,IP,4,,IP,2,,IP,神田 達也,4.60,0.18,3.8,5,,IP,3,,G3,6,6,G3,3,6,IP,1,,IP,5,,IP,6,,IP,2,,IP,2,,IP,5,,IP,妹尾 忠幸,5.30,0.17,3.7,2,,IP,4,,IP,4,,IP,2,,IP,4,,IP,3,,IP,3,,IP,6,,IP,4,,IP,2,,IP,今井 貴士,4.10,0.16,3.4,6,,IP,5,,IP,4,,IP,6,,IP,2,,IP,3,,IP,5,,IP,2,,IP,6,,IP,3,,IP,常住 蓮,5.60,0.13,3.5,2,,IP,2,,IP,2,5,IP,5,,IP,6,,G3,1,,G2,5,,G2,3,,G2,4,,G1,5,,G1
202608200204,2026-08-20,02,04R,高橋 勲,9.00,0.13,2.5,1,,IP,1,,IP,2,,IP,1,,IP,2,,G3,1,,G3,1,,G3,1,,IP,4,,G3,1,,IP,内堀 学,6.60,0.17,2.7,1,,IP,4,,IP,3,,IP,4,,IP,2,,IP,3,1,IP,3,,IP,2,,IP,3,,IP,2,,IP,鈴木 賢一,5.22,0.13,2.5,5,,G3,4,,G3,3,4,IP,2,,G3,2,,IP,エ,,IP,4,,IP,6,,IP,3,,IP,2,,IP,久富 政弘,3.50,0.19,4.7,5,,IP,4,,IP,5,,IP,4,,IP,6,,IP,2,,IP,3,,IP,3,,IP,6,,IP,6,3,IP,吉島 祥之,3.80,0.14,3.0,4,,IP,6,,IP,6,,G3,5,,G3,4,,IP,6,,IP,6,,IP,2,,IP,3,,IP,1,,IP,鳥本 智史,1.60,0.22,3.8,4,,IP,6,,IP,4,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP
202608200205,2026-08-20,02,05R,相原 利章,6.00,0.12,1.6,3,,IP,5,,IP,5,,IP,6,,IP,1,,IP,1,,IP,1,,IP,1,,IP,6,,IP,2,,IP,大江 純,6.30,0.13,2.7,2,,IP,1,,IP,1,,IP,2,,IP,2,,IP,5,,IP,3,,IP,3,,IP,6,3,G3,4,3,G3,浜崎 準也,5.20,0.18,3.1,2,,IP,4,,IP,2,,IP,5,,IP,3,,IP,6,,IP,6,,IP,2,4,IP,4,,IP,1,,IP,赤羽 克也,4.30,0.16,3.0,4,,IP,5,,IP,3,,IP,4,,IP,3,,IP,4,,IP,4,,IP,4,,IP,2,,IP,6,,IP,佐竹 友樹,5.30,0.14,3.2,3,,IP,4,,IP,2,,IP,3,,IP,5,,IP,3,,G2,4,,IP,4,,IP,2,,IP,4,,IP,金田 大輔,2.30,0.14,2.2,5,,IP,6,,IP,6,,IP,4,,IP,5,5,IP,4,,IP,5,,IP,5,,IP,6,,IP,4,5,IP
202608200206,2026-08-20,02,06R,内山 文典,8.20,0.16,3.3,1,,IP,2,,IP,1,,IP,2,,IP,1,,IP,3,,IP,1,,IP,5,,IP,1,,IP,2,,IP,若林 義人,4.30,0.11,2.8,2,,IP,2,,IP,5,,IP,6,,IP,4,,G3,5,,G3,5,,IP,2,,IP,5,,IP,3,,IP,永嶋 裕一,5.70,0.15,2.4,2,,IP,2,,IP,1,,IP,1,,IP,6,,IP,6,,IP,6,,IP,2,,IP,3,,IP,4,,IP,堂原 洋史,3.90,0.15,3.8,4,,IP,6,,IP,2,,IP,6,,G3,3,3,G3,5,,IP,2,5,IP,4,,IP,4,,IP,6,,IP,山本 稔太朗,3.40,0.17,3.8,4,,IP,5,,IP,5,,G3,3,,IP,5,,IP,5,,G3,4,,IP,5,,IP,2,,IP,5,,IP,木山 大聖,2.90,0.12,2.9,5,,IP,3,,IP,5,,IP,6,,IP,5,5,IP,6,,IP,5,,IP,6,,IP,3,,IP,3,,IP
202608200207,2026-08-20,02,07R,川上 剛,7.80,0.18,3.2,1,,IP,1,,IP,4,,IP,2,,IP,4,,IP,3,,IP,1,,IP,1,,IP,3,,IP,1,,IP,加藤 高史,5.20,0.17,3.7,6,,G3,1,,G3,2,,IP,5,,IP,5,,IP,6,,IP,4,,IP,3,,IP,1,,IP,2,,IP,本吉 正樹,4.60,0.14,2.5,4,,IP,3,,IP,4,,IP,3,,IP,6,,IP,6,,IP,4,,IP,1,,IP,2,,IP,5,,IP,近藤 友宝,2.40,0.20,4.4,6,,IP,6,,IP,3,,IP,6,,IP,5,,IP,6,5,IP,5,,IP,3,5,IP,5,3,IP,5,,IP,江藤 敦宏,3.00,0.16,3.0,6,,IP,6,,IP,6,,IP,5,,IP,4,,IP,4,,IP,4,4,IP,4,,IP,2,,IP,6,,IP,中村 楓,1.90,0.14,2.8,5,,IP,3,,IP,6,,IP,5,,IP,5,,IP,6,,IP,6,,IP,6,,IP,5,,IP,6,,IP
202608200208,2026-08-20,02,08R,黄金井 力良,7.00,0.16,2.6,2,,IP,1,,IP,6,,G3,1,,G3,2,,IP,1,,IP,1,,IP,6,,IP,5,,IP,1,,IP,神田 達也,5.10,0.15,2.5,4,,IP,6,,G3,4,4,G3,2,4,IP,4,,IP,3,,IP,4,,IP,3,,IP,2,,IP,3,,IP,前原 大道,6.70,0.16,2.9,2,,IP,6,,IP,5,,IP,1,,IP,5,,G3,3,,G3,2,,IP,1,,IP,1,,G1,3,,G1,野中 義生,5.50,0.17,3.3,3,,IP,6,,IP,2,,IP,4,,IP,3,,IP,2,,IP,3,,IP,3,5,IP,4,,IP,3,,G3,中島 航,3.30,0.20,4.3,5,,IP,3,,IP,5,,IP,3,,IP,5,,IP,4,6,G3,3,,G3,5,2,G3,5,6,IP,6,,IP,山本 英志,4.40,0.16,3.3,2,,IP,5,,IP,4,5,IP,3,,IP,4,,IP,6,,IP,4,,IP,4,,IP,4,,G2,3,4,IP
202608200209,2026-08-20,02,09R,久富 政弘,8.00,0.15,3.8,1,,IP,1,,IP,4,,IP,1,,IP,1,,IP,4,,IP,1,,IP,1,,IP,2,,IP,4,2,IP,三川 昂暁,5.80,0.15,3.6,2,,IP,2,,IP,3,,IP,5,,IP,1,,IP,5,,IP,5,,IP,2,,IP,4,5,IP,2,,IP,坂東 満,2.80,0.14,3.1,5,,IP,6,,IP,5,,IP,6,,IP,4,,IP,3,,IP,5,,IP,4,,IP,5,,IP,4,,IP,相原 利章,4.40,0.12,2.2,4,,IP,5,,IP,2,,IP,3,,IP,4,,IP,5,,IP,3,,IP,3,,IP,5,,IP,4,,IP,柴田 朋哉,5.30,0.13,2.8,1,,IP,4,,IP,6,6,IP,2,,G3,2,,IP,4,,IP,4,,IP,4,,IP,2,,IP,5,,IP,桑島 和宏,3.90,0.18,3.6,5,,IP,3,,IP,5,5,IP,4,,IP,4,,IP,2,5,IP,4,,IP,6,,IP,3,,IP,6,,G2
202608200210,2026-08-20,02,10R,今井 貴士,9.00,0.14,1.5,2,,IP,4,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,1,,IP,野相 弘司,5.56,0.19,3.6,2,,IP,6,,IP,4,,IP,2,,IP,2,,IP,転,,IP,6,,IP,3,,IP,3,,IP,2,,IP,金田 大輔,4.90,0.17,2.8,1,,IP,6,,IP,4,,IP,1,,IP,1,,IP,6,,IP,6,,IP,6,,IP,6,4,IP,1,,IP,高橋 勲,4.80,0.14,2.6,6,,IP,5,,IP,3,,IP,2,,IP,4,,IP,3,,IP,2,,G3,2,,G3,6,,G3,4,,G3,吉村 誠,5.70,0.15,3.6,4,,IP,2,,IP,6,,IP,4,,IP,2,,IP,2,,IP,4,,IP,2,,IP,4,,IP,3,,IP,東本 勝利,4.11,0.17,3.8,4,,IP,5,,IP,4,5,IP,3,,IP,5,,IP,3,,IP,欠,,IP,2,,IP,4,,G3,6,,G3
