レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202607250101,2026-07-25,01,01R,岩下 巧斗,9.40,0.18,3.4,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,4,,IP,1,,IP,1,,IP,1,,IP,大串 重幸,6.40,0.16,2.9,2,,G2,5,,G2,3,,G2,3,,IP,2,,IP,4,3,IP,6,,IP,2,,IP,1,,IP,2,,IP,鈴木 結平太,1.00,0.18,5.0,6,,IP,,,,,,,,,,,,,,,,,,,,,,,,,,,IP,滝沢 芳行,4.20,0.14,2.7,4,,IP,2,,IP,6,,IP,6,,G3,1,,G3,6,,IP,6,,IP,2,5,IP,4,,IP,4,,IP,立間 充宏,5.40,0.17,3.6,2,,G2,4,,G2,2,,IP,4,,IP,3,,IP,5,,IP,4,,IP,4,,IP,3,6,IP,4,,IP,木下 虎之輔,1.70,0.16,3.3,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,2,,IP,6,,IP,6,,IP
202607250102,2026-07-25,01,02R,木場 悠介,8.60,0.13,2.4,2,,IP,2,,IP,1,,IP,1,,IP,2,,IP,1,,IP,2,,IP,3,,IP,2,,IP,1,,IP,中嶋 達也,4.70,0.21,4.8,3,,IP,3,,IP,5,,IP,1,,IP,4,,IP,4,,IP,5,3,IP,2,,IP,6,,IP,4,,IP,吉田 祐貴,4.20,0.17,3.6,4,,IP,5,,IP,2,,IP,5,,IP,4,,IP,5,,IP,4,,IP,2,,IP,5,4,IP,3,,IP,桑原 将光,5.00,0.14,3.2,4,,IP,4,5,IP,3,,IP,4,,IP,5,,IP,4,,IP,2,5,G3,3,,IP,3,,IP,3,,IP,早川 颯太,1.30,0.16,3.0,6,,IP,6,,IP,6,,IP,6,,IP,5,6,IP,6,6,IP,5,,IP,5,,IP,6,,IP,6,,IP,藤生 雄人,4.20,0.18,4.7,6,,IP,4,,IP,4,,IP,6,,IP,4,,IP,4,,IP,4,,IP,3,,IP,3,5,IP,3,,IP
202607250103,2026-07-25,01,03R,和田 操拓,8.90,0.12,2.2,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,2,,IP,1,,IP,3,,G2,2,,IP,2,,IP,山本 兼士,5.20,0.13,3.6,2,,G3,1,,G3,6,4,G3,3,,IP,5,,IP,4,,IP,3,,IP,1,,IP,4,,IP,6,,IP,松尾 祭,4.70,0.15,2.7,1,2,IP,4,,IP,5,,G2,2,,IP,6,,IP,3,,IP,2,,G2,6,,G2,6,,G2,6,,G2,西村 拓也,6.60,0.11,2.6,3,,IP,2,,IP,3,,IP,5,,IP,2,,IP,2,2,IP,2,,IP,5,,IP,3,,IP,1,,IP,須藤 隆雄,3.10,0.14,2.6,5,,IP,6,,IP,6,,IP,2,,IP,2,,IP,5,,IP,5,4,IP,6,,IP,4,,IP,5,,IP,井上 大輔,3.10,0.16,3.0,6,,G3,5,,IP,6,,IP,5,,IP,5,,IP,4,,IP,3,5,IP,3,,IP,6,,IP,3,,G3
202607250104,2026-07-25,01,04R,三浦 裕貴,6.40,0.14,3.3,1,,IP,5,,IP,6,,IP,3,,IP,1,,IP,1,,IP,6,,IP,4,,IP,1,,IP,1,,IP,大橋 純一郎,5.80,0.14,2.4,5,3,IP,2,,IP,3,,IP,2,,IP,2,,IP,5,,IP,5,,IP,2,,IP,1,1,IP,4,,IP,齊藤 廉,6.20,0.12,2.0,2,,IP,2,,IP,3,4,IP,2,,IP,5,,IP,5,,IP,1,,IP,4,,IP,2,,IP,3,4,IP,田中 京介,2.90,0.12,2.6,5,,IP,6,,IP,5,,IP,5,,IP,3,,IP,2,,G3,6,,G3,4,,IP,5,,IP,6,,IP,鈴木 賢一,3.10,0.21,4.3,6,,IP,3,,G3,4,,IP,5,,IP,5,,IP,6,,IP,4,,IP,4,,IP,3,,G3,6,,G3,三川 昂暁,4.70,0.15,3.0,4,,IP,6,,IP,4,,IP,3,,IP,5,,IP,5,,IP,2,,IP,2,,IP,3,,IP,3,,IP
202607250105,2026-07-25,01,05R,長尾 京志郎,6.20,0.13,3.8,2,,IP,2,,IP,2,,IP,6,,IP,3,,IP,6,,IP,2,,IP,1,,IP,5,,IP,1,,IP,森野 正弘,7.10,0.15,2.5,2,1,G3,2,,IP,2,,IP,1,,IP,3,,G3,5,,G3,1,,IP,2,,IP,3,,IP,4,,IP,近江 翔吾,5.70,0.17,3.7,4,4,G2,4,,G2,2,,IP,3,,IP,4,,IP,5,,IP,2,,IP,3,,IP,2,,IP,5,,G1,小倉 康典,3.30,0.14,3.4,2,,IP,6,,IP,5,,IP,6,,IP,3,,IP,6,,IP,6,,IP,1,,IP,6,,IP,5,,IP,大塚 浩二,4.20,0.22,4.1,3,6,IP,4,,IP,4,,IP,6,,IP,6,,IP,4,,IP,4,,IP,2,,IP,2,,IP,5,,IP,坂井 康嗣,1.80,0.16,3.1,6,,IP,5,,IP,5,,IP,6,,IP,6,,IP,5,5,IP,5,,IP,5,5,IP,4,,IP,6,,IP
202607250106,2026-07-25,01,06R,木村 仁紀,8.00,0.15,2.8,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,3,,IP,3,,IP,1,,IP,転,,G2,滝沢 芳行,4.56,0.14,3.1,落,,IP,3,,IP,5,,IP,2,,G3,6,,G3,4,,IP,5,,IP,5,,IP,1,,IP,4,,IP,吉武 真也,4.50,0.17,2.9,6,,IP,2,,IP,3,,IP,5,,IP,4,,IP,5,,IP,4,,IP,4,,IP,4,,IP,1,,IP,岩井 繁,3.00,0.23,4.8,5,,IP,3,,IP,3,,G3,4,,G3,6,,IP,5,6,IP,6,,IP,5,,IP,5,,IP,4,,IP,庄島 潤成,2.20,0.20,4.6,5,6,IP,5,,IP,4,,IP,6,,IP,6,,IP,5,,IP,6,6,IP,4,6,IP,4,,IP,6,6,IP,本村 大,3.30,0.19,4.6,3,,IP,6,,IP,4,,IP,6,,IP,2,,IP,3,,IP,6,,IP,5,,IP,5,,IP,5,,IP
202607250107,2026-07-25,01,07R,横田 貴満,8.90,0.14,3.1,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,1,,IP,3,,IP,4,,IP,須藤 隆雄,3.50,0.18,3.8,4,,IP,5,,IP,5,,IP,4,,IP,5,3,IP,2,,IP,4,,IP,6,,IP,5,,IP,3,,IP,市川 哲也,5.00,0.13,3.1,5,,G2,3,,IP,2,,IP,3,,IP,3,,IP,3,,IP,5,,IP,6,,IP,4,,IP,2,,IP,木下 虎之輔,2.38,0.16,3.0,5,,IP,5,,IP,6,,IP,5,,IP,4,,IP,6,,IP,6,,IP,3,5,IP,,,,,,IP,中嶋 達也,4.30,0.14,2.5,6,6,IP,3,,IP,5,,IP,3,,IP,6,6,IP,4,,IP,6,,IP,3,,IP,1,,IP,3,,IP,抹香 雄三,3.80,0.16,3.5,6,,IP,3,,IP,6,,IP,4,,IP,1,,IP,4,5,IP,5,5,IP,5,,IP,3,,IP,5,,IP
202607250108,2026-07-25,01,08R,田中 京介,8.40,0.09,1.9,1,,IP,2,,IP,1,,IP,2,,IP,3,,IP,3,,IP,2,,IP,2,,IP,1,,G3,1,,IP,吉田 祐貴,3.70,0.19,4.7,3,,IP,1,,IP,3,,IP,6,,IP,3,,IP,5,3,IP,4,3,IP,6,,IP,F,,IP,6,,IP,早川 颯太,0.00,-,-,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,山口 広樹,3.00,0.22,4.3,6,,IP,5,,IP,2,,IP,6,,IP,6,,IP,5,,IP,3,,IP,6,,IP,3,,IP,5,,IP,上平 真二,5.30,0.19,4.0,1,,IP,4,,IP,4,,IP,4,,G1,4,,G1,4,3,IP,3,,IP,3,,IP,4,,IP,4,,IP,山本 兼士,3.50,0.19,3.0,4,,G3,5,,IP,5,,IP,1,,IP,6,,IP,4,,IP,5,,IP,4,,IP,5,,IP,4,,IP
202607250109,2026-07-25,01,09R,立間 充宏,8.30,0.16,2.9,1,,G2,4,,IP,2,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,4,,IP,3,,IP,小倉 康典,4.20,0.18,4.6,4,,IP,4,,IP,1,,IP,6,,IP,5,,IP,3,,IP,4,,IP,6,,IP,4,,IP,3,,IP,桑原 将光,3.60,0.15,4.1,5,,IP,6,,IP,5,,IP,3,,IP,6,,IP,2,,G3,2,,IP,6,,IP,6,,IP,3,,IP,井上 大輔,2.90,0.13,2.8,6,5,G3,4,5,G3,6,,IP,4,,IP,6,,IP,3,,IP,5,,IP,4,,IP,5,,IP,4,,IP,小川 日紀太,3.90,0.13,2.5,3,,IP,5,,IP,5,,IP,3,,IP,4,,IP,5,,IP,4,,IP,4,,IP,6,,IP,2,,IP,鈴木 賢一,1.89,0.22,5.4,欠,,IP,5,,G3,6,,G3,4,,G3,6,,IP,6,,IP,6,,IP,4,,IP,6,,IP,5,,IP
202607250110,2026-07-25,01,10R,山下 大輝,8.10,0.19,3.8,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,6,,IP,1,,IP,1,,IP,6,,IP,1,,IP,藤生 雄人,5.60,0.17,3.2,1,,IP,2,,IP,2,,IP,4,,IP,5,,IP,2,,IP,4,,IP,F,,IP,3,,IP,3,,IP,和田 操拓,7.10,0.13,1.9,1,,IP,5,6,IP,5,,IP,1,,IP,1,,IP,2,,IP,3,,IP,1,,IP,2,,IP,4,,G2,坂井 康嗣,4.40,0.19,3.3,6,,IP,6,,IP,3,,IP,6,,IP,2,,IP,6,,IP,5,3,IP,1,,IP,4,,IP,1,,IP,川辺 郭人,1.80,0.16,3.2,4,6,IP,6,,IP,6,,IP,6,,IP,5,6,IP,6,,IP,5,6,IP,5,,IP,5,,IP,5,,IP,大橋 純一郎,5.00,0.19,3.9,3,,IP,4,,IP,4,,IP,4,,IP,4,,IP,5,,IP,2,,IP,5,5,IP,2,,IP,2,,IP
